age_of_participant,gender,academic_status,field_of_education,do_you_know_about_how_antibiotics_differ_from_other_drugs,pick_the_most_appropriate_definition_of_antibiotics,how_can_you_identify_an_antibiotic,what_is_your_idea_about_the_importance_of_antibiotics,what_is_the_most_dangerous_impact_of_antibiotics,what_is_your_opinion_about_antibiotic_usage,what_is_your_perception_of_drug-resistant_germs,do_you_have_idea_about_antibiotic_resistance_as_a_threat_to_public_health,choose_a_statement_that_you_feel_is_the_best_strategy_to_face_antibiotic-resistance,which_of_the_strategies_have_you_heard_about_against_antibiotic_resistance,what_type_of_movement_on_public_health_issues_do_you_think_will_be_effective_in_setting_malpractices_right,why_do_you_think_public_health_issues_don’t_get_due_importance_in_public_opinion,how_many_antibiotics_have_you_taken_over_the_past_3_years,what_was_the_pattern_of_antibiotic_use,what_was_the_formulation_of_the_product_used,what_was_the_best_experience_with_the_consumption_of_antibiotics,what_was_the_worst_experience_with_the_consumption_of_antibiotics,how_did_you_come_to_consume_the_antibiotic,have_you_experienced_treatment_failure_from_antibiotic_consumption,what_was_your_understanding_of_treatment_failure
23,Male,BSS(hons.),Economics,Yes ,Medicine used to treat infections ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
28,Male,BSC Honours ,Graduation ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,None ,,,,,,,
22,Male,HSC,BSS final year  ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Implementation of strict law regarding the unnecessary use of antibiotics ,Citizen movement from all people ,Our health professionals are not active in developing public opinion about healthcare ,I know precisely ,I took multiple antibiotics multiple times (আমি ভিন্ন ভিন্ন অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",High price ,A non-registered medical professional  recommended (অনিবন্ধিত মেডিকেল পেশাদারের  পরামর্শ অনুযায়ী),No ,
20,Male,Hsc,Honour's ,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason infectious diseases have been controlled ,Antibiotic consumption damages health ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Antibiotic Stewardship ,Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I know precisely ,I took the same antibiotic multiple times (আমি একই অ্যান্টিবায়োটিক একাধিকবার সেবন করেছি),Tablet,"I recovered from the symptoms quickly, which was not treatable with other medicines (আমি দ্রুত লক্ষণগুলি থেকে সেরে উঠেছি যা অন্যান্য ওষুধের দ্বারা উপশম হয়নি)",Side-effects ,A registered physician prescribed it for the specific symptoms ,Yes ,I didn’t consume antibiotic on time and didn’t complete the course 
21,Male,Student,honours,Yes ,Medicine used to treat fever ,From the pharmaceutical composition ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
22,Male,Undergrade,Sociology,Yes ,Medicine used to treat infections ,From name ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,Hons 4th yr.,Soil Water & Environment,Yes ,Medicine used to treat viral disease ,From the pharmaceutical composition ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I am concerned about it ,Yes ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
23,Male,B. Sc,Fisheries,Yes ,Medicine used to treat viral disease ,I have no idea ,They are the reason epidemics have been controlled ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,"Guidelines on antibiotic usage for humans, animals, agriculture, and environment ",Movement in media to form public opinion ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
22,Male,RUET,Civil Engineering ,Yes ,Medicine used to treat viral disease ,From the datasheet with the medicine ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics must be restricted because of the rise of multidrug-resistant germs ,I want to act directly to counter antibiotic-resistance ,Yes ,There should be a National Guideline and restriction on antibiotic usage ,Antibiotic Stewardship ,"Professional movement by doctors, pharmaceuticals, hospital authority and health officers ",Our health professionals are not active in developing public opinion about healthcare ,I don’t remember ,,,,,,,
23,Male,Hons,Urban and Rural Planning ,Yes ,Medicine used to treat infections ,From name ,They are the reason we have reduced diseases ,Antibiotic usage spreads antibiotic resistance ,Antibiotics should be used with proper restrictions because they have side-effects ,I don’t know about it ,No ,Sanitation and cleanliness should be the first step; antibiotics should be the last ,Regulated production and distribution of antibiotics ,Citizen movement from all people ,Our people are not educated enough to understand healthcare and public health issues ,I don’t remember ,,,,,,,
